City Id,State,State Abbreviation,Municipality,Link
278,New York,NY,Northwest Harbor East Hampton,https://www.hrc.org/resources/municipalities/northwest-harbor-east-hampton-ny-3
279,New York,NY,Rochester,https://www.hrc.org/resources/municipalities/rochester-ny-3
280,New York,NY,Syracuse,https://www.hrc.org/resources/municipalities/syracuse-ny-3
281,New York,NY,White Plains,https://www.hrc.org/resources/municipalities/white-plains-ny-3
282,New York,NY,Yonkers,https://www.hrc.org/resources/municipalities/yonkers-ny-3
283,North Carolina,NC,Carrboro,https://www.hrc.org/resources/municipalities/carrboro-nc-3
284,North Carolina,NC,Cary,https://www.hrc.org/resources/municipalities/cary-nc-3
285,North Carolina,NC,Chapel Hill,https://www.hrc.org/resources/municipalities/chapel-hill-nc-3
286,North Carolina,NC,Charlotte,https://www.hrc.org/resources/municipalities/charlotte-nc-3
287,North Carolina,NC,Durham,https://www.hrc.org/resources/municipalities/durham-nc-3
288,North Carolina,NC,Fayetteville,https://www.hrc.org/resources/municipalities/fayetteville-nc-3
289,North Carolina,NC,Greensboro,https://www.hrc.org/resources/municipalities/greensboro-nc-3
290,North Carolina,NC,Raleigh,https://www.hrc.org/resources/municipalities/raleigh-nc-3
291,North Carolina,NC,Wilmington,https://www.hrc.org/resources/municipalities/wilmington-nc-3
292,North Carolina,NC,Winston Salem,https://www.hrc.org/resources/municipalities/winston-salem-nc-3
293,North Dakota,ND,Bismarck,https://www.hrc.org/resources/municipalities/bismarck-nd-3
294,North Dakota,ND,Fargo,https://www.hrc.org/resources/municipalities/fargo-nd-3
295,North Dakota,ND,Grand Forks,https://www.hrc.org/resources/municipalities/grand-forks-nd-3
296,North Dakota,ND,Jamestown,https://www.hrc.org/resources/municipalities/jamestown-nd-3
297,North Dakota,ND,Mandan,https://www.hrc.org/resources/municipalities/mandan-nd-3
298,North Dakota,ND,Minot,https://www.hrc.org/resources/municipalities/minot-nd-3
299,North Dakota,ND,West Fargo,https://www.hrc.org/resources/municipalities/west-fargo-nd-3
300,Ohio,OH,Akron,https://www.hrc.org/resources/municipalities/akron-oh-3
301,Ohio,OH,Cincinnati,https://www.hrc.org/resources/municipalities/cincinnati-oh-3
302,Ohio,OH,Cleveland,https://www.hrc.org/resources/municipalities/cleveland-oh-3
303,Ohio,OH,Columbus,https://www.hrc.org/resources/municipalities/columbus-oh-3
304,Ohio,OH,Dayton,https://www.hrc.org/resources/municipalities/dayton-oh-3
305,Ohio,OH,Dublin,https://www.hrc.org/resources/municipalities/dublin-oh-3
306,Ohio,OH,Lakewood,https://www.hrc.org/resources/municipalities/lakewood-oh-3
307,Ohio,OH,Toledo,https://www.hrc.org/resources/municipalities/toledo-oh-3
308,Oklahoma,OK,Broken Arrow,https://www.hrc.org/resources/municipalities/broken-arrow-ok-3
309,Oklahoma,OK,Edmond,https://www.hrc.org/resources/municipalities/edmond-ok-3
310,Oklahoma,OK,Lawton,https://www.hrc.org/resources/municipalities/lawton-ok-3
311,Oklahoma,OK,Moore,https://www.hrc.org/resources/municipalities/moore-ok-3
312,Oklahoma,OK,Norman,https://www.hrc.org/resources/municipalities/norman-ok-3
313,Oklahoma,OK,Oklahoma City,https://www.hrc.org/resources/municipalities/oklahoma-city-ok-3
314,Oklahoma,OK,Stillwater,https://www.hrc.org/resources/municipalities/stillwater-ok-3
315,Oklahoma,OK,Tulsa,https://www.hrc.org/resources/municipalities/tulsa-ok-3
316,Oregon,OR,Ashland,https://www.hrc.org/resources/municipalities/ashland-or-3
317,Oregon,OR,Bend,https://www.hrc.org/resources/municipalities/bend-or-3
318,Oregon,OR,Corvallis,https://www.hrc.org/resources/municipalities/corvallis-or-3
319,Oregon,OR,Eugene,https://www.hrc.org/resources/municipalities/eugene-or-3
320,Oregon,OR,Gresham,https://www.hrc.org/resources/municipalities/gresham-or-3
321,Oregon,OR,Hillsboro,https://www.hrc.org/resources/municipalities/hillsboro-or-3
322,Oregon,OR,Portland,https://www.hrc.org/resources/municipalities/portland-or-3
323,Oregon,OR,Salem,https://www.hrc.org/resources/municipalities/salem-or-3
324,Maryland,MD,Annapolis,https://www.hrc.org/resources/municipalities/annapolis-md-3
325,Maryland,MD,Baltimore,https://www.hrc.org/resources/municipalities/baltimore-md-3
326,Maryland,MD,Bowie,https://www.hrc.org/resources/municipalities/bowie-md-3
327,Maryland,MD,College Park,https://www.hrc.org/resources/municipalities/college-park-md-3
328,Maryland,MD,Columbia,https://www.hrc.org/resources/municipalities/columbia-md-3
329,Maryland,MD,Frederick,https://www.hrc.org/resources/municipalities/frederick-md-3
330,Maryland,MD,Gaithersburg,https://www.hrc.org/resources/municipalities/gaithersburg-md-3
331,Maryland,MD,Hagerstown,https://www.hrc.org/resources/municipalities/hagerstown-md-3
332,Maryland,MD,Rockville,https://www.hrc.org/resources/municipalities/rockville-md-3
333,Maryland,MD,Towson Baltimore County,https://www.hrc.org/resources/municipalities/towson-baltimore-county-md-3
334,Massachusetts,MA,Amherst,https://www.hrc.org/resources/municipalities/amherst-ma-3
335,Massachusetts,MA,Arlington,https://www.hrc.org/resources/municipalities/arlington-ma-3
336,Massachusetts,MA,Boston,https://www.hrc.org/resources/municipalities/boston-ma-3
337,Massachusetts,MA,Cambridge,https://www.hrc.org/resources/municipalities/cambridge-ma-3
338,Massachusetts,MA,Lowell,https://www.hrc.org/resources/municipalities/lowell-ma-3
339,Massachusetts,MA,Northampton,https://www.hrc.org/resources/municipalities/northampton-ma-3
340,Massachusetts,MA,Provincetown,https://www.hrc.org/resources/municipalities/provincetown-ma-3
341,Massachusetts,MA,Salem,https://www.hrc.org/resources/municipalities/salem-ma-3
342,Massachusetts,MA,Springfield,https://www.hrc.org/resources/municipalities/springfield-ma-3
343,Massachusetts,MA,Worcester,https://www.hrc.org/resources/municipalities/worcester-ma-3
344,Michigan,MI,Ann Arbor,https://www.hrc.org/resources/municipalities/ann-arbor-mi-3
345,Michigan,MI,Detroit,https://www.hrc.org/resources/municipalities/detroit-mi-3
346,Michigan,MI,East Lansing,https://www.hrc.org/resources/municipalities/east-lansing-mi-3
347,Michigan,MI,Ferndale,https://www.hrc.org/resources/municipalities/ferndale-mi-3
348,Michigan,MI,Grand Rapids,https://www.hrc.org/resources/municipalities/grand-rapids-mi-3
349,Michigan,MI,Kalamazoo,https://www.hrc.org/resources/municipalities/kalamazoo-mi-3
350,Michigan,MI,Lansing,https://www.hrc.org/resources/municipalities/lansing-mi-3
351,Michigan,MI,Pleasant Ridge,https://www.hrc.org/resources/municipalities/pleasant-ridge-mi-3
352,Michigan,MI,Sterling Heights,https://www.hrc.org/resources/municipalities/sterling-heights-mi-3
353,Michigan,MI,Traverse City,https://www.hrc.org/resources/municipalities/traverse-city-mi-3
354,Michigan,MI,Warren,https://www.hrc.org/resources/municipalities/warren-mi-3
355,Minnesota,MN,Bloomington,https://www.hrc.org/resources/municipalities/bloomington-mn-3
356,Minnesota,MN,Duluth,https://www.hrc.org/resources/municipalities/duluth-mn-3
357,Minnesota,MN,Eden Prairie,https://www.hrc.org/resources/municipalities/eden-prairie-mn-3
358,Minnesota,MN,Minneapolis,https://www.hrc.org/resources/municipalities/minneapolis-mn-3
359,Minnesota,MN,Minnetonka,https://www.hrc.org/resources/municipalities/minnetonka-mn-3
360,Minnesota,MN,Rochester,https://www.hrc.org/resources/municipalities/rochester-mn-3
361,Minnesota,MN,Saint Cloud,https://www.hrc.org/resources/municipalities/saint-cloud-mn-3
362,Minnesota,MN,Saint Paul,https://www.hrc.org/resources/municipalities/saint-paul-mn-3
363,Mississippi,MS,Bay St. Louis,https://www.hrc.org/resources/municipalities/bay-st.-louis-ms-3
364,Mississippi,MS,Biloxi,https://www.hrc.org/resources/municipalities/biloxi-ms-3
